freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.787e+01,3.795e+02,1.302e+01,4.104e+02
1.5,3.186e+01,2.523e+02,3.263e+01,3.168e+02
2.9,2.812e+01,6.507e+01,3.290e+01,1.261e+02
4.4,2.935e+01,2.866e+02,3.619e+01,3.521e+02
5.9,4.877e+01,1.148e+03,3.836e+01,1.235e+03
7.4,6.767e+01,1.919e+03,3.421e+01,2.021e+03
8.8,8.439e+01,2.704e+03,3.361e+01,2.822e+03
10.3,1.028e+02,3.590e+03,3.335e+01,3.726e+03
11.8,1.311e+02,4.586e+03,3.342e+01,4.751e+03
13.2,1.559e+02,5.676e+03,3.498e+01,5.867e+03
14.7,1.729e+02,7.267e+03,3.313e+01,7.473e+03
16.2,2.141e+02,9.339e+03,3.279e+01,9.586e+03
17.7,2.796e+02,1.189e+04,3.577e+01,1.221e+04
19.1,3.621e+02,1.391e+04,3.645e+01,1.431e+04
20.6,4.366e+02,1.565e+04,3.170e+01,1.611e+04
22.1,5.219e+02,1.906e+04,3.588e+01,1.962e+04
23.5,6.772e+02,2.324e+04,4.263e+01,2.396e+04
25.0,7.446e+02,2.554e+04,4.607e+01,2.633e+04
26.5,7.441e+02,2.697e+04,4.945e+01,2.776e+04
28.0,7.373e+02,3.133e+04,4.460e+01,3.211e+04
29.4,7.615e+02,3.721e+04,3.986e+01,3.801e+04
30.9,8.923e+02,4.472e+04,4.367e+01,4.566e+04
32.4,1.066e+03,5.281e+04,4.406e+01,5.392e+04
33.8,1.299e+03,6.147e+04,4.074e+01,6.281e+04
35.3,1.570e+03,7.387e+04,4.141e+01,7.548e+04
36.8,1.974e+03,9.036e+04,4.849e+01,9.238e+04
38.3,2.359e+03,1.114e+05,5.622e+01,1.139e+05
39.7,3.043e+03,1.383e+05,9.671e+01,1.414e+05
41.2,4.712e+03,1.797e+05,2.031e+02,1.846e+05
42.7,7.403e+03,2.532e+05,4.907e+02,2.611e+05
44.1,1.087e+04,3.310e+05,9.832e+02,3.428e+05
45.6,1.604e+04,4.124e+05,1.714e+03,4.301e+05
47.1,2.362e+04,5.429e+05,2.627e+03,5.691e+05
48.5,2.832e+04,7.281e+05,4.029e+03,7.604e+05
50.0,3.350e+04,9.356e+05,6.507e+03,9.756e+05
51.5,3.275e+04,1.106e+06,8.114e+03,1.147e+06
53.0,2.575e+04,1.106e+06,8.439e+03,1.140e+06
