freq,psd_x,psd_y,psd_z,psd_xyz
162.6,2.962e+01,1.078e+03,9.357e+01,1.201e+03
164.1,3.240e+01,1.056e+03,9.102e+01,1.180e+03
165.6,4.219e+01,9.793e+02,9.274e+01,1.114e+03
167.1,6.140e+01,9.427e+02,9.929e+01,1.103e+03
168.5,7.751e+01,9.887e+02,1.233e+02,1.189e+03
170.0,8.834e+01,1.045e+03,1.730e+02,1.307e+03
171.5,8.067e+01,9.981e+02,1.973e+02,1.276e+03
173.0,7.602e+01,9.945e+02,1.800e+02,1.250e+03
174.5,7.593e+01,1.044e+03,1.464e+02,1.266e+03
175.9,7.831e+01,1.054e+03,1.229e+02,1.256e+03
177.4,8.193e+01,1.003e+03,1.326e+02,1.217e+03
178.9,9.021e+01,1.011e+03,1.767e+02,1.278e+03
180.4,7.626e+01,1.179e+03,1.927e+02,1.448e+03
181.9,6.998e+01,1.239e+03,1.650e+02,1.474e+03
183.3,7.678e+01,1.350e+03,1.493e+02,1.576e+03
184.8,9.131e+01,1.449e+03,1.486e+02,1.689e+03
186.3,1.038e+02,1.493e+03,1.781e+02,1.775e+03
187.8,9.828e+01,1.528e+03,1.861e+02,1.812e+03
189.2,8.935e+01,1.672e+03,1.707e+02,1.933e+03
190.7,9.538e+01,1.949e+03,1.586e+02,2.203e+03
192.2,1.002e+02,2.121e+03,1.456e+02,2.366e+03
193.7,1.198e+02,2.191e+03,1.622e+02,2.473e+03
195.2,1.474e+02,2.318e+03,1.822e+02,2.648e+03
196.6,1.686e+02,2.611e+03,2.061e+02,2.986e+03
198.1,1.910e+02,3.019e+03,2.265e+02,3.437e+03
199.6,2.163e+02,3.356e+03,2.593e+02,3.832e+03
