freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.824e+01,3.910e+02,1.210e+01,4.213e+02
1.5,3.687e+01,2.977e+02,3.419e+01,3.687e+02
2.9,3.988e+01,8.463e+01,3.321e+01,1.577e+02
4.4,4.618e+01,2.874e+02,3.065e+01,3.643e+02
5.9,5.890e+01,1.110e+03,3.440e+01,1.203e+03
7.4,7.131e+01,1.927e+03,3.583e+01,2.035e+03
8.8,9.399e+01,2.732e+03,3.522e+01,2.861e+03
10.3,1.122e+02,3.579e+03,3.437e+01,3.725e+03
11.8,1.427e+02,4.580e+03,3.617e+01,4.758e+03
13.3,1.599e+02,5.758e+03,3.670e+01,5.954e+03
14.7,1.889e+02,7.325e+03,3.535e+01,7.549e+03
16.2,2.311e+02,9.367e+03,3.341e+01,9.632e+03
17.7,2.928e+02,1.202e+04,3.586e+01,1.235e+04
19.1,3.794e+02,1.397e+04,4.298e+01,1.439e+04
20.6,4.513e+02,1.577e+04,3.946e+01,1.626e+04
22.1,5.348e+02,1.934e+04,3.646e+01,1.991e+04
23.6,6.837e+02,2.337e+04,3.672e+01,2.410e+04
25.0,7.458e+02,2.572e+04,4.433e+01,2.651e+04
26.5,7.507e+02,2.735e+04,5.057e+01,2.815e+04
28.0,7.685e+02,3.192e+04,4.700e+01,3.273e+04
29.5,8.023e+02,3.792e+04,3.875e+01,3.876e+04
30.9,9.073e+02,4.555e+04,3.376e+01,4.649e+04
32.4,1.077e+03,5.364e+04,3.736e+01,5.475e+04
33.9,1.318e+03,6.273e+04,4.193e+01,6.409e+04
35.4,1.608e+03,7.517e+04,4.763e+01,7.683e+04
36.8,2.065e+03,9.222e+04,4.581e+01,9.433e+04
38.3,2.552e+03,1.147e+05,4.973e+01,1.173e+05
39.8,3.291e+03,1.424e+05,7.377e+01,1.458e+05
41.2,4.980e+03,1.858e+05,1.699e+02,1.909e+05
42.7,7.930e+03,2.629e+05,4.062e+02,2.712e+05
44.2,1.154e+04,3.445e+05,8.793e+02,3.569e+05
45.7,1.666e+04,4.298e+05,1.647e+03,4.481e+05
47.1,2.439e+04,5.802e+05,2.715e+03,6.073e+05
48.6,3.080e+04,8.001e+05,4.745e+03,8.356e+05
50.1,3.788e+04,9.996e+05,7.859e+03,1.045e+06
51.6,3.626e+04,1.134e+06,9.575e+03,1.180e+06
53.0,2.869e+04,1.142e+06,9.865e+03,1.180e+06
54.5,2.803e+04,9.748e+05,1.015e+04,1.013e+06
56.0,2.749e+04,7.879e+05,9.859e+03,8.253e+05
57.4,2.534e+04,6.458e+05,9.101e+03,6.802e+05
58.9,2.251e+04,5.538e+05,8.448e+03,5.847e+05
60.4,1.782e+04,4.435e+05,7.058e+03,4.684e+05
61.9,1.497e+04,3.556e+05,5.340e+03,3.759e+05
63.3,1.295e+04,2.934e+05,4.031e+03,3.103e+05
64.8,1.016e+04,2.440e+05,3.080e+03,2.572e+05
66.3,7.982e+03,2.060e+05,2.591e+03,2.166e+05
67.8,5.854e+03,1.666e+05,2.065e+03,1.745e+05
69.2,5.512e+03,1.291e+05,2.579e+03,1.372e+05
70.7,5.469e+03,1.068e+05,2.570e+03,1.148e+05
72.2,4.271e+03,8.863e+04,1.800e+03,9.470e+04
73.7,3.004e+03,6.596e+04,1.307e+03,7.027e+04
75.1,1.689e+03,4.708e+04,7.576e+02,4.952e+04
76.6,1.092e+03,3.515e+04,6.115e+02,3.685e+04
78.1,7.450e+02,2.765e+04,5.934e+02,2.899e+04
79.5,4.320e+02,2.513e+04,5.050e+02,2.607e+04
81.0,6.658e+02,3.444e+04,3.159e+02,3.542e+04
82.5,1.448e+03,4.863e+04,3.059e+02,5.038e+04
84.0,2.604e+03,6.326e+04,7.062e+02,6.657e+04
85.4,3.881e+03,8.111e+04,1.594e+03,8.658e+04
86.9,3.968e+03,8.934e+04,2.412e+03,9.572e+04
88.4,2.904e+03,7.929e+04,3.106e+03,8.530e+04
89.9,2.602e+03,7.094e+04,3.879e+03,7.742e+04
91.3,3.155e+03,6.867e+04,4.987e+03,7.681e+04
92.8,3.625e+03,7.020e+04,5.898e+03,7.972e+04
94.3,3.829e+03,6.740e+04,6.423e+03,7.765e+04
95.7,3.955e+03,6.408e+04,6.507e+03,7.454e+04
97.2,3.873e+03,5.757e+04,6.658e+03,6.810e+04
98.7,4.025e+03,5.188e+04,7.114e+03,6.302e+04
100.2,4.422e+03,5.219e+04,7.786e+03,6.440e+04
101.6,5.780e+03,6.077e+04,8.580e+03,7.513e+04
103.1,7.138e+03,7.042e+04,9.125e+03,8.668e+04
104.6,7.728e+03,7.116e+04,9.722e+03,8.860e+04
106.1,7.806e+03,6.885e+04,1.032e+04,8.697e+04
107.5,7.497e+03,6.656e+04,1.081e+04,8.487e+04
109.0,7.480e+03,6.441e+04,1.120e+04,8.309e+04
110.5,7.669e+03,6.230e+04,1.154e+04,8.150e+04
112.0,7.768e+03,5.821e+04,1.216e+04,7.814e+04
