freq,psd_x,psd_y,psd_z,psd_xyz
140.8,1.967e+03,3.578e+03,3.645e+03,9.190e+03
142.3,1.749e+03,3.272e+03,3.604e+03,8.624e+03
143.8,1.886e+03,3.721e+03,3.655e+03,9.262e+03
145.3,2.074e+03,4.172e+03,3.429e+03,9.675e+03
146.7,2.338e+03,4.740e+03,3.870e+03,1.095e+04
148.2,2.752e+03,5.259e+03,5.012e+03,1.302e+04
149.7,3.236e+03,6.207e+03,6.262e+03,1.570e+04
151.2,3.463e+03,6.727e+03,7.766e+03,1.796e+04
152.7,3.675e+03,6.580e+03,9.217e+03,1.947e+04
154.2,3.771e+03,6.631e+03,1.071e+04,2.111e+04
155.6,3.441e+03,6.000e+03,1.028e+04,1.972e+04
157.1,2.907e+03,4.896e+03,9.320e+03,1.712e+04
158.6,2.458e+03,4.399e+03,7.958e+03,1.482e+04
160.1,1.985e+03,3.725e+03,6.752e+03,1.246e+04
161.6,1.431e+03,2.829e+03,5.637e+03,9.897e+03
163.0,8.542e+02,2.107e+03,4.243e+03,7.204e+03
164.5,4.447e+02,1.570e+03,3.007e+03,5.022e+03
166.0,3.406e+02,1.408e+03,2.460e+03,4.209e+03
167.5,4.870e+02,1.050e+03,2.322e+03,3.858e+03
169.0,1.358e+03,8.396e+02,4.344e+03,6.542e+03
170.5,2.841e+03,1.311e+03,8.116e+03,1.227e+04
171.9,4.652e+03,2.186e+03,1.291e+04,1.974e+04
173.4,6.782e+03,3.012e+03,1.872e+04,2.851e+04
174.9,8.376e+03,3.562e+03,2.329e+04,3.523e+04
176.4,9.379e+03,4.010e+03,2.621e+04,3.960e+04
177.9,9.399e+03,4.263e+03,2.737e+04,4.103e+04
179.4,8.909e+03,4.142e+03,2.681e+04,3.987e+04
180.8,9.948e+03,4.756e+03,2.865e+04,4.336e+04
182.3,1.170e+04,5.433e+03,3.234e+04,4.947e+04
183.8,1.459e+04,6.499e+03,3.962e+04,6.071e+04
185.3,1.758e+04,8.363e+03,4.530e+04,7.125e+04
186.8,1.899e+04,9.647e+03,4.807e+04,7.671e+04
188.2,1.991e+04,1.044e+04,5.078e+04,8.112e+04
189.7,2.196e+04,1.127e+04,5.579e+04,8.902e+04
191.2,2.393e+04,1.248e+04,6.100e+04,9.742e+04
192.7,2.600e+04,1.412e+04,6.498e+04,1.051e+05
194.2,2.670e+04,1.597e+04,6.612e+04,1.088e+05
195.7,2.762e+04,1.744e+04,6.722e+04,1.123e+05
197.1,2.836e+04,1.819e+04,6.845e+04,1.150e+05
198.6,2.844e+04,1.791e+04,6.906e+04,1.154e+05
