freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.291e+01,4.048e+02,1.300e+01,4.408e+02
1.5,5.578e+01,3.146e+02,3.566e+01,4.061e+02
2.9,5.383e+01,1.303e+02,3.681e+01,2.210e+02
4.4,4.034e+01,3.665e+02,3.779e+01,4.447e+02
5.9,6.706e+01,1.205e+03,3.704e+01,1.309e+03
7.3,7.931e+01,1.966e+03,3.820e+01,2.084e+03
8.8,1.060e+02,2.748e+03,3.916e+01,2.893e+03
10.3,1.286e+02,3.570e+03,4.303e+01,3.742e+03
11.7,1.441e+02,4.563e+03,4.146e+01,4.749e+03
13.2,1.589e+02,5.735e+03,3.938e+01,5.933e+03
14.7,1.795e+02,7.316e+03,4.110e+01,7.536e+03
16.1,2.180e+02,9.323e+03,4.203e+01,9.583e+03
17.6,3.094e+02,1.190e+04,4.388e+01,1.226e+04
19.0,3.763e+02,1.373e+04,4.468e+01,1.415e+04
20.5,4.436e+02,1.536e+04,4.059e+01,1.584e+04
22.0,5.211e+02,1.865e+04,4.421e+01,1.922e+04
23.4,6.697e+02,2.247e+04,5.019e+01,2.319e+04
24.9,7.241e+02,2.463e+04,5.610e+01,2.541e+04
26.4,7.100e+02,2.596e+04,6.715e+01,2.674e+04
27.8,7.038e+02,2.997e+04,6.398e+01,3.074e+04
29.3,7.220e+02,3.554e+04,5.318e+01,3.631e+04
30.8,8.042e+02,4.216e+04,5.116e+01,4.302e+04
32.2,9.372e+02,4.969e+04,4.877e+01,5.068e+04
33.7,1.139e+03,5.735e+04,5.719e+01,5.855e+04
35.2,1.369e+03,6.732e+04,7.184e+01,6.877e+04
36.6,1.653e+03,8.148e+04,8.341e+01,8.322e+04
38.1,1.886e+03,9.951e+04,1.013e+02,1.015e+05
39.6,2.423e+03,1.218e+05,1.729e+02,1.244e+05
41.0,3.650e+03,1.552e+05,3.761e+02,1.592e+05
42.5,5.423e+03,2.094e+05,7.231e+02,2.155e+05
44.0,7.913e+03,2.677e+05,1.094e+03,2.767e+05
45.4,1.229e+04,3.351e+05,1.569e+03,3.490e+05
46.9,1.951e+04,4.497e+05,2.175e+03,4.714e+05
48.4,2.795e+04,6.459e+05,3.254e+03,6.771e+05
49.8,3.684e+04,8.930e+05,5.235e+03,9.351e+05
51.3,3.748e+04,1.166e+06,6.936e+03,1.210e+06
52.7,3.069e+04,1.244e+06,7.775e+03,1.283e+06
54.2,2.818e+04,1.096e+06,9.154e+03,1.133e+06
55.7,3.345e+04,9.240e+05,1.223e+04,9.697e+05
57.1,3.564e+04,7.188e+05,1.375e+04,7.682e+05
58.6,3.201e+04,5.253e+05,1.316e+04,5.704e+05
60.1,2.659e+04,4.060e+05,1.061e+04,4.432e+05
61.5,2.374e+04,3.381e+05,7.914e+03,3.698e+05
63.0,2.217e+04,2.892e+05,7.112e+03,3.184e+05
64.5,1.943e+04,2.458e+05,6.678e+03,2.719e+05
65.9,1.643e+04,2.069e+05,5.852e+03,2.292e+05
67.4,1.386e+04,1.709e+05,4.726e+03,1.895e+05
68.9,1.208e+04,1.346e+05,3.863e+03,1.506e+05
70.3,1.051e+04,1.043e+05,3.122e+03,1.180e+05
71.8,7.081e+03,8.301e+04,1.806e+03,9.190e+04
73.3,3.411e+03,6.706e+04,8.247e+02,7.130e+04
74.7,1.419e+03,5.300e+04,4.957e+02,5.492e+04
76.2,4.846e+02,4.177e+04,2.522e+02,4.251e+04
77.7,3.065e+02,3.317e+04,2.625e+02,3.374e+04
79.1,1.748e+02,2.811e+04,2.270e+02,2.851e+04
80.6,2.942e+02,3.554e+04,1.762e+02,3.601e+04
82.1,1.023e+03,4.763e+04,4.149e+02,4.907e+04
83.5,2.606e+03,6.071e+04,1.229e+03,6.454e+04
85.0,4.750e+03,8.064e+04,2.773e+03,8.816e+04
86.4,5.699e+03,9.761e+04,4.314e+03,1.076e+05
87.9,5.138e+03,9.265e+04,5.908e+03,1.037e+05
89.4,5.784e+03,9.127e+04,7.926e+03,1.050e+05
90.8,6.512e+03,9.164e+04,9.506e+03,1.077e+05
92.3,7.095e+03,9.185e+04,1.067e+04,1.096e+05
93.8,6.794e+03,8.624e+04,9.868e+03,1.029e+05
95.2,6.459e+03,7.713e+04,9.836e+03,9.342e+04
96.7,6.277e+03,7.176e+04,1.054e+04,8.857e+04
98.2,6.468e+03,6.938e+04,1.092e+04,8.677e+04
99.6,7.265e+03,7.200e+04,1.148e+04,9.074e+04
101.1,9.117e+03,8.220e+04,1.201e+04,1.033e+05
102.6,9.890e+03,8.677e+04,1.140e+04,1.081e+05
104.0,9.070e+03,8.336e+04,1.086e+04,1.033e+05
105.5,8.354e+03,7.947e+04,1.060e+04,9.842e+04
107.0,8.041e+03,7.588e+04,1.047e+04,9.438e+04
108.4,7.798e+03,7.136e+04,1.084e+04,9.000e+04
109.9,7.648e+03,6.686e+04,1.141e+04,8.592e+04
111.4,7.857e+03,6.438e+04,1.171e+04,8.395e+04
112.8,8.356e+03,6.350e+04,1.241e+04,8.427e+04
114.3,8.798e+03,6.278e+04,1.370e+04,8.527e+04
115.8,8.990e+03,6.070e+04,1.480e+04,8.449e+04
117.2,8.919e+03,5.602e+04,1.524e+04,8.018e+04
118.7,8.849e+03,5.018e+04,1.507e+04,7.410e+04
120.2,8.145e+03,4.584e+04,1.415e+04,6.813e+04
121.6,6.859e+03,4.517e+04,1.200e+04,6.403e+04
123.1,6.041e+03,4.442e+04,1.051e+04,6.097e+04
124.5,5.829e+03,4.369e+04,1.014e+04,5.966e+04
126.0,6.041e+03,4.228e+04,1.121e+04,5.954e+04
127.5,6.171e+03,4.234e+04,1.234e+04,6.085e+04
128.9,5.714e+03,4.229e+04,1.149e+04,5.949e+04
130.4,5.358e+03,4.363e+04,1.036e+04,5.934e+04
131.9,4.960e+03,4.302e+04,9.270e+03,5.725e+04
133.3,3.321e+03,2.097e+04,6.699e+03,3.099e+04
134.8,2.061e+03,5.708e+03,4.749e+03,1.252e+04
136.3,1.712e+03,4.190e+03,3.734e+03,9.636e+03
137.7,1.497e+03,3.485e+03,2.958e+03,7.940e+03
139.2,1.490e+03,2.868e+03,2.648e+03,7.007e+03
140.7,1.474e+03,2.230e+03,2.448e+03,6.152e+03
142.1,1.434e+03,1.914e+03,2.306e+03,5.654e+03
143.6,1.484e+03,1.696e+03,2.671e+03,5.851e+03
145.1,1.864e+03,1.536e+03,3.075e+03,6.476e+03
146.5,1.946e+03,1.502e+03,3.113e+03,6.561e+03
148.0,1.871e+03,1.680e+03,3.649e+03,7.199e+03
149.5,1.908e+03,2.065e+03,4.535e+03,8.507e+03
150.9,1.994e+03,2.893e+03,5.534e+03,1.042e+04
152.4,2.255e+03,3.970e+03,6.281e+03,1.251e+04
153.9,2.311e+03,4.549e+03,6.413e+03,1.327e+04
155.3,2.110e+03,4.631e+03,6.185e+03,1.293e+04
156.8,1.665e+03,4.718e+03,6.253e+03,1.264e+04
158.2,1.407e+03,4.833e+03,5.966e+03,1.221e+04
159.7,1.240e+03,4.238e+03,5.234e+03,1.071e+04
161.2,9.460e+02,3.448e+03,4.367e+03,8.761e+03
162.6,5.995e+02,2.577e+03,3.528e+03,6.704e+03
164.1,3.847e+02,1.670e+03,2.695e+03,4.750e+03
165.6,2.486e+02,9.343e+02,2.121e+03,3.304e+03
167.0,2.323e+02,5.495e+02,1.681e+03,2.463e+03
168.5,3.102e+02,5.625e+02,9.686e+02,1.841e+03
170.0,6.367e+02,1.333e+03,4.513e+02,2.421e+03
171.4,1.120e+03,2.768e+03,5.135e+02,4.401e+03
172.9,1.691e+03,4.586e+03,7.987e+02,7.076e+03
174.4,2.382e+03,7.372e+03,1.026e+03,1.078e+04
175.8,2.922e+03,1.018e+04,1.264e+03,1.436e+04
177.3,3.007e+03,1.196e+04,1.427e+03,1.639e+04
178.8,2.751e+03,1.281e+04,1.484e+03,1.705e+04
180.2,2.418e+03,1.293e+04,1.545e+03,1.690e+04
181.7,2.612e+03,1.442e+04,1.754e+03,1.879e+04
183.2,3.097e+03,1.640e+04,1.799e+03,2.129e+04
184.6,3.907e+03,1.888e+04,2.276e+03,2.507e+04
186.1,5.221e+03,2.280e+04,3.677e+03,3.170e+04
187.6,6.890e+03,2.685e+04,5.256e+03,3.900e+04
189.0,8.094e+03,2.951e+04,6.364e+03,4.397e+04
190.5,8.990e+03,3.187e+04,7.181e+03,4.804e+04
191.9,9.994e+03,3.321e+04,8.963e+03,5.217e+04
193.4,1.116e+04,3.422e+04,1.106e+04,5.645e+04
194.9,1.226e+04,3.466e+04,1.293e+04,5.985e+04
196.3,1.308e+04,3.424e+04,1.418e+04,6.151e+04
197.8,1.418e+04,3.558e+04,1.541e+04,6.518e+04
199.3,1.481e+04,3.668e+04,1.670e+04,6.819e+04
