freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.320e+01,4.751e+00,2.965e+02,3.144e+02
1.5,1.866e+01,1.742e+01,1.848e+02,2.209e+02
3.0,1.520e+01,1.959e+01,3.007e+01,6.485e+01
4.4,1.568e+01,1.924e+01,2.701e+02,3.050e+02
5.9,1.657e+01,1.792e+01,1.190e+03,1.225e+03
7.4,1.740e+01,2.078e+01,2.114e+03,2.152e+03
8.9,2.063e+01,2.254e+01,3.281e+03,3.324e+03
10.3,4.252e+01,2.153e+01,4.369e+03,4.433e+03
11.8,3.329e+01,2.388e+01,5.271e+03,5.329e+03
13.3,2.123e+01,2.368e+01,7.269e+03,7.314e+03
14.8,3.476e+01,2.362e+01,9.867e+03,9.926e+03
16.2,7.231e+01,2.140e+01,1.205e+04,1.215e+04
17.7,8.977e+01,2.066e+01,1.487e+04,1.498e+04
19.2,9.821e+01,3.398e+01,1.952e+04,1.966e+04
20.7,1.119e+02,3.533e+01,2.620e+04,2.634e+04
22.1,1.110e+02,6.343e+01,3.373e+04,3.391e+04
23.6,6.346e+01,1.673e+02,4.305e+04,4.328e+04
25.1,5.205e+01,2.410e+02,5.818e+04,5.848e+04
26.6,1.490e+02,3.100e+02,8.127e+04,8.173e+04
28.0,3.710e+02,2.450e+02,1.166e+05,1.172e+05
29.5,7.112e+02,1.655e+02,1.860e+05,1.869e+05
31.0,1.485e+03,1.645e+02,3.017e+05,3.034e+05
32.5,3.294e+03,2.065e+02,4.126e+05,4.161e+05
33.9,5.419e+03,2.692e+02,4.558e+05,4.615e+05
35.4,7.466e+03,2.735e+02,4.381e+05,4.458e+05
36.9,9.177e+03,3.368e+02,3.696e+05,3.791e+05
38.4,9.178e+03,4.718e+02,2.734e+05,2.830e+05
39.8,8.489e+03,6.307e+02,2.079e+05,2.170e+05
41.3,8.652e+03,7.349e+02,1.600e+05,1.693e+05
42.8,9.017e+03,7.482e+02,1.183e+05,1.280e+05
44.3,9.148e+03,6.672e+02,8.707e+04,9.688e+04
45.7,9.500e+03,5.946e+02,6.557e+04,7.567e+04
47.2,1.050e+04,7.820e+02,5.169e+04,6.298e+04
48.7,1.289e+04,7.286e+02,4.174e+04,5.535e+04
50.2,1.647e+04,6.185e+02,3.391e+04,5.100e+04
51.6,1.785e+04,6.456e+02,2.838e+04,4.687e+04
53.1,1.915e+04,9.346e+02,2.549e+04,4.558e+04
54.6,1.848e+04,1.346e+03,2.550e+04,4.532e+04
56.1,1.335e+04,1.577e+03,2.666e+04,4.158e+04
57.5,9.165e+03,1.407e+03,2.564e+04,3.621e+04
59.0,9.697e+03,1.252e+03,2.351e+04,3.446e+04
60.5,1.259e+04,1.603e+03,2.292e+04,3.712e+04
62.0,1.437e+04,1.959e+03,2.280e+04,3.913e+04
63.4,1.563e+04,2.260e+03,2.311e+04,4.100e+04
64.9,1.262e+04,2.137e+03,2.071e+04,3.547e+04
66.4,1.161e+04,1.627e+03,1.793e+04,3.117e+04
67.9,1.345e+04,2.156e+03,1.973e+04,3.534e+04
69.3,1.434e+04,3.431e+03,2.270e+04,4.047e+04
70.8,1.409e+04,2.470e+03,2.366e+04,4.022e+04
72.3,1.213e+04,1.410e+03,2.087e+04,3.441e+04
73.8,9.895e+03,9.671e+02,1.863e+04,2.949e+04
75.2,8.203e+03,9.094e+02,1.763e+04,2.674e+04
76.7,6.286e+03,6.540e+02,1.461e+04,2.155e+04
