freq,psd_x,psd_y,psd_z,psd_xyz
78.2,4.317e+03,3.178e+02,1.140e+04,1.603e+04
79.7,2.735e+03,1.588e+02,8.962e+03,1.186e+04
81.1,1.808e+03,1.803e+02,7.714e+03,9.703e+03
82.6,1.422e+03,2.258e+02,7.695e+03,9.342e+03
84.1,1.318e+03,2.187e+02,8.531e+03,1.007e+04
85.6,1.258e+03,1.779e+02,9.934e+03,1.137e+04
87.0,1.253e+03,1.580e+02,1.306e+04,1.447e+04
88.5,1.284e+03,1.900e+02,1.716e+04,1.863e+04
90.0,1.318e+03,1.950e+02,2.089e+04,2.240e+04
91.5,1.480e+03,1.588e+02,2.515e+04,2.679e+04
92.9,1.700e+03,9.999e+01,2.803e+04,2.983e+04
94.4,1.771e+03,6.088e+01,2.893e+04,3.076e+04
95.9,1.665e+03,5.339e+01,2.813e+04,2.985e+04
97.4,1.504e+03,1.727e+02,2.746e+04,2.913e+04
98.8,1.574e+03,4.599e+02,2.705e+04,2.909e+04
100.3,1.584e+03,5.864e+02,2.492e+04,2.709e+04
101.8,1.408e+03,4.322e+02,2.157e+04,2.341e+04
103.3,1.425e+03,2.523e+02,1.907e+04,2.074e+04
104.7,1.560e+03,2.160e+02,1.796e+04,1.974e+04
106.2,1.726e+03,2.957e+02,1.800e+04,2.002e+04
107.7,1.699e+03,3.779e+02,1.778e+04,1.986e+04
109.2,1.547e+03,4.162e+02,1.670e+04,1.866e+04
110.6,1.468e+03,4.492e+02,1.697e+04,1.889e+04
112.1,1.512e+03,4.216e+02,1.956e+04,2.150e+04
113.6,1.484e+03,4.263e+02,2.196e+04,2.387e+04
115.1,1.177e+03,4.273e+02,1.999e+04,2.159e+04
116.5,9.383e+02,3.909e+02,1.681e+04,1.814e+04
118.0,9.168e+02,3.380e+02,1.634e+04,1.759e+04
119.5,9.838e+02,3.734e+02,1.958e+04,2.094e+04
121.0,9.240e+02,4.534e+02,2.120e+04,2.258e+04
122.4,7.709e+02,5.032e+02,1.883e+04,2.010e+04
123.9,7.992e+02,5.633e+02,1.835e+04,1.971e+04
125.4,9.927e+02,5.219e+02,1.983e+04,2.134e+04
126.9,1.106e+03,4.401e+02,2.174e+04,2.328e+04
128.3,1.094e+03,4.378e+02,2.337e+04,2.491e+04
129.8,3.320e+03,1.380e+03,2.541e+04,3.011e+04
131.3,1.054e+04,4.387e+03,2.749e+04,4.241e+04
132.8,3.084e+03,1.531e+03,1.538e+04,2.000e+04
134.2,1.288e+02,2.850e+02,2.130e+03,2.543e+03
135.7,6.016e+01,1.515e+02,6.570e+02,8.686e+02
137.2,5.018e+01,9.291e+01,5.855e+02,7.286e+02
138.7,4.619e+01,7.013e+01,6.034e+02,7.198e+02
140.1,5.266e+01,6.891e+01,5.627e+02,6.842e+02
141.6,4.971e+01,7.425e+01,5.188e+02,6.428e+02
143.1,4.155e+01,7.355e+01,5.120e+02,6.271e+02
144.6,4.066e+01,7.373e+01,5.192e+02,6.336e+02
146.0,4.462e+01,8.616e+01,6.630e+02,7.937e+02
147.5,3.849e+01,8.090e+01,6.888e+02,8.082e+02
149.0,3.394e+01,5.976e+01,4.930e+02,5.867e+02
150.5,3.898e+01,6.404e+01,4.518e+02,5.548e+02
151.9,4.206e+01,7.197e+01,4.894e+02,6.034e+02
153.4,4.258e+01,7.109e+01,5.202e+02,6.339e+02
154.9,4.525e+01,6.086e+01,5.519e+02,6.581e+02
156.4,4.743e+01,5.465e+01,5.994e+02,7.015e+02
157.8,4.142e+01,5.462e+01,6.348e+02,7.308e+02
159.3,3.874e+01,5.553e+01,7.141e+02,8.084e+02
160.8,3.912e+01,5.746e+01,7.486e+02,8.452e+02
162.3,5.241e+01,5.841e+01,7.730e+02,8.838e+02
163.7,7.328e+01,6.159e+01,7.962e+02,9.310e+02
165.2,7.878e+01,8.185e+01,7.492e+02,9.098e+02
166.7,7.404e+01,1.116e+02,8.246e+02,1.010e+03
168.2,9.521e+01,1.225e+02,1.042e+03,1.260e+03
169.6,8.517e+01,1.183e+02,1.070e+03,1.274e+03
171.1,6.167e+01,1.047e+02,9.631e+02,1.129e+03
172.6,5.651e+01,1.083e+02,1.014e+03,1.179e+03
174.1,4.969e+01,9.543e+01,1.169e+03,1.314e+03
175.5,4.375e+01,8.310e+01,1.243e+03,1.369e+03
177.0,4.276e+01,7.357e+01,1.143e+03,1.259e+03
178.5,4.120e+01,8.149e+01,1.062e+03,1.184e+03
180.0,4.061e+01,1.008e+02,1.079e+03,1.221e+03
181.4,4.878e+01,9.454e+01,1.180e+03,1.323e+03
182.9,5.940e+01,8.627e+01,1.386e+03,1.531e+03
184.4,6.331e+01,8.532e+01,1.562e+03,1.711e+03
185.9,6.108e+01,7.511e+01,1.668e+03,1.804e+03
187.3,6.663e+01,7.405e+01,1.719e+03,1.860e+03
188.8,7.409e+01,7.507e+01,1.826e+03,1.975e+03
190.3,8.592e+01,7.192e+01,1.942e+03,2.100e+03
191.8,9.870e+01,6.843e+01,2.051e+03,2.218e+03
193.2,1.074e+02,6.012e+01,2.083e+03,2.251e+03
194.7,1.065e+02,5.780e+01,1.983e+03,2.148e+03
196.2,1.094e+02,6.335e+01,1.959e+03,2.132e+03
197.7,1.382e+02,9.037e+01,2.105e+03,2.333e+03
199.1,1.907e+02,1.054e+02,2.458e+03,2.754e+03
